timestamp,value
41275,2741.16
41276,8429.76
41277,39.25
41278,245.86
41279,2504.6
41280,5252.97
41281,10711.21
41282,3328.08
41283,129.98
41284,200.58
41285,352.17
41286,533.53
41287,1650.27
41288,12114.46
41289,4836.13
41290,852.92
41291,696.57
41292,13984.83
41293,904.91
41294,10588.11
41295,14850.17
41296,7477.85
41297,10805.06
41298,7348.45
41299,1999.7
41300,12664.73
41301,758.16
41302,12352.99
41303,1021.07
41304,329.66
41305,652.35
41306,3526.33
41307,18020.88
41308,1048.28
41309,13555.22
41310,7053.57
41311,290.14
41312,1653.7
41313,1896.83
41314,4704.35
41315,253
41316,98.38
41317,9771.24
41318,53.6
41319,251.51
41320,223.36
41321,2889.81
41322,4343.93
41323,66.91
41324,163.49
41325,371.37
41326,338.73
41327,2617.68
41328,29461.89
41329,11257.95
41330,5777.05
41331,121.81
41332,3799.41
41333,214.4
41334,92.66
41335,5390.43
41336,348.78
41337,308.07
41338,349.39
41339,8870.95
41340,173.78
41341,626.3
41342,698.42
41343,189.77
41344,12166.34
41345,159.98
41346,947.2
41347,525.33
41348,2579.55
41349,143.13
41350,344.65
41351,20134.64
41352,126.79
41353,702.75
41354,11282.49
41355,2872.97
41356,10239.36
41357,914.84
41358,12018.83
41359,478.41
41360,634.74
41361,8608.11
41362,4292.77
41363,365.41
41364,610.03
41365,11034.2
41366,437.32
41367,9509.98
41368,7844.43
41369,1571.12
41370,925.26
41371,5820.61
41372,937.16
41373,170.8
41374,455.52
41375,4209.61
41376,158.18
41377,620.2
41378,1842.45
41379,113.35
41380,1081.82
41381,13080.74
41382,745.43
41383,5824.38
41384,908.01
41385,756.3
41386,63.41
41387,1469.57
41388,8323.53
41389,5528.52
41390,656.11
41391,1193.66
41392,1496.36
41393,4983.06
41394,2557.24
41395,435.24
41396,6110.99
41397,403.59
41398,2145.15
41399,1593.68
41400,53.93
41401,5703.44
41402,4595.64
41403,199.84
41404,1026.16
41405,762.69
41406,461.97
41407,1982.22
41408,3663.76
41409,5631.18
41410,20131.97
41411,1240.62
41412,602.27
41413,194.93
41414,605.36
41415,649.64
41416,782.92
41417,2205.4
41418,9998.56
41419,388.51
41420,1046.53
41421,1200.42
41422,1600.29
41423,2600.97
41424,508.79
41425,2637.15
41426,1810.99
41427,633.02
41428,92.52
41429,1401.47
41430,1412.6
41431,3403.27
41432,3542.26
41433,306.76
41434,5381.99
41435,10738.61
41436,21520.87
41437,299.33
41438,490.63
41439,2353.86
41440,4852.52
41441,5720.72
41442,162.5
41443,1033.75
41444,6323.8
41445,4948.97
41446,841.28
41447,1853.35
41448,5055.75
41449,2377.92
41450,6324.09
41451,1167.81
41452,1361.63
41453,2125.45
41454,3988.87
41455,2047.08
41456,846.96
41457,6134.45
41458,172.82
41459,548.39
41460,62.54
41461,250.94
41462,204.99
41463,108.9
41464,582.13
41465,989.16
41466,1980.19
41467,182.45
41468,302.8
41469,1401.63
41470,105.79
41471,496.44
41472,1167.29
41473,2120.15
41474,1877.98
41475,2402.25
41476,1204.09
41477,580.53
41478,195.42
41479,1094.66
41480,5341.98
41481,5294.67
41482,3995.45
41483,1726.69
41484,1058.63
41485,990.57
41486,1027.23
41487,2739.24
41488,2542.07
41489,1030.3
41490,1393.89
41491,302.01
41492,572.52
41493,1266.53
41494,1905.8
41495,271.47
41496,1944.21
41497,3715.36
41498,2697.55
41499,4193.86
41500,1182.68
41501,3588.38
41502,1642.79
41503,7572.15
41504,477.08
41505,236.15
41506,797.89
41507,1298.5
41508,1253.64
41509,1487.58
41510,5442.57
41511,375.02
41512,334.04
41513,329.48
41514,691.36
41515,328.79
41516,632.89
41517,1037.16
41518,3235.97
41519,92.72
41520,321.38
41521,1530.25
41522,9461.15
41523,-122.16
41524,961.45
41525,2112.85
41526,759.53
41527,805.85
41528,1093.1
41529,1130.62
41530,512.91
41531,1092.95
41532,2247.88
41533,1362.91
41534,211.84
41535,202.66
41536,891.48
41537,1461.78
41538,217.71
41539,92.72
41540,427.63
41541,230.87
41542,198.65
41543,820.93
41544,1617.14
41545,2272.45
41546,2952.42
41547,1274.73
41548,15478.46
41549,4757.02
41550,1959.99
41551,2051.79
41552,9511.21
41553,938.52
41554,119.01
41555,266.92
41556,558.38
41557,654.11
41558,5108.13
41559,6492.72
41560,6391.64
41561,416.43
41562,277.9
41563,1007.41
41564,1387.66
41565,928
41566,4848.45
41567,1325.97
41568,1935.8
41569,1131.83
41570,2082.35
41571,610.37
41572,1828.79
41573,12463.49
41574,17375.14
